iter	Passed	Remaining
482	604	647
483	605	645
484	606	643
485	607	642
486	608	640
487	609	639
488	610	638
489	611	636
490	612	635
491	614	633
492	615	632
493	615	630
494	616	629
495	617	627
496	618	625
497	618	623
498	619	622
499	620	620
500	621	619
501	622	617
502	623	616
503	625	615
504	626	613
505	627	612
506	628	610
507	629	609
508	630	608
509	631	606
510	631	604
511	632	603
512	633	601
513	634	599
514	635	598
515	635	596
516	636	594
517	637	593
518	639	592
519	640	591
520	641	589
521	642	588
522	643	586
523	644	585
524	645	583
525	646	582
526	647	580
527	647	579
528	648	577
529	649	575
530	650	574
531	651	572
532	651	571
533	652	569
534	654	568
535	655	567
536	656	565
537	657	564
538	658	562
539	659	561
540	659	559
541	660	558
542	661	556
543	662	555
544	663	553
545	664	552
546	665	550
547	666	549
548	667	547
549	668	546
550	669	545
551	670	544
552	671	543
553	672	541
554	673	540
555	674	538
556	675	537
557	676	535
558	677	534
559	678	532
560	678	531
561	679	529
562	680	528
563	681	526
564	682	525
565	683	524
566	684	523
567	685	521
568	686	520
569	688	519
570	689	517
571	690	516
572	691	514
573	692	513
574	692	512
575	693	510
576	694	509
577	695	508
578	696	506
579	698	505
580	699	504
581	700	502
582	701	501
583	702	500
584	703	498
585	704	497
586	705	496
587	705	494
588	706	493
589	707	491
590	708	490
591	709	488
592	710	487
593	711	486
594	712	485
595	714	484
596	715	483
597	717	482
598	718	480
599	718	479
600	719	477
601	720	476
602	721	474
603	722	473
604	723	472
605	723	470
606	724	469
607	725	467
608	726	466
609	728	465
610	729	464
611	730	463
612	731	461
613	732	460
614	733	459
615	734	457
616	735	456
617	735	454
618	736	453
619	737	452
620	738	450
621	739	449
622	740	447
623	741	446
624	742	445
625	743	444
626	744	443
627	745	441
628	746	440
629	747	439
630	748	437
631	749	436
632	750	434
633	751	433
634	751	432
635	752	430
636	753	429
637	754	428
638	755	426
639	756	425
640	757	424
641	758	423
642	759	421
643	761	420
644	762	419
645	764	418
646	765	417
647	766	416
648	768	415
649	770	414
650	772	414
651	774	413
652	775	412
653	777	411
654	778	410
655	780	409
656	781	407
657	782	406
658	783	405
659	784	404
660	787	403
661	788	402
662	789	401
663	791	400
664	792	399
665	793	397
666	795	396
667	796	395
668	797	394
669	799	393
670	801	392
671	802	391
672	803	390
673	804	389
674	805	387
675	806	386
676	807	385
677	808	384
678	810	383
679	811	381
680	812	380
681	814	379
682	816	378
683	817	377
684	818	376
685	819	374
686	820	373
687	821	372
688	822	371
689	823	369
690	824	368
691	824	367
692	825	365
693	826	364
694	827	363
695	828	361
696	829	360
697	830	359
698	831	358
699	832	356
700	833	355
701	834	354
702	835	353
703	836	351
704	837	350
705	838	349
706	838	347
707	839	346
708	840	345
709	841	343
710	842	342
711	843	341
712	844	340
713	845	338
714	847	337
715	848	336
716	849	335
717	850	333
718	850	332
719	851	331
720	852	329
721	853	328
722	854	327
723	855	326
724	856	324
725	857	323
726	857	322
727	859	320
728	860	319
729	861	318
730	862	317
731	863	316
732	864	314
733	865	313
734	866	312
735	867	311
736	868	309
737	869	308
738	870	307
739	871	306
740	872	304
741	872	303
742	874	302
743	875	301
744	876	300
745	877	298
746	878	297
747	879	296
748	880	295
749	881	293
750	882	292
751	883	291
752	884	290
753	885	288
754	886	287
755	887	286
756	887	285
757	888	283
758	890	282
759	891	281
760	892	280
761	893	279
762	894	277
763	895	276
764	896	275
765	896	274
766	897	272
767	898	271
768	899	270
769	900	268
770	901	267
771	902	266
772	903	265
773	904	264
774	905	262
775	906	261
776	907	260
777	908	259
778	909	258
779	910	256
780	911	255
781	912	254
782	913	253
783	914	251
784	915	250
785	916	249
786	917	248
787	918	247
788	920	246
789	921	244
790	922	243
791	923	242
792	924	241
793	925	240
794	925	238
795	926	237
796	927	236
797	928	235
798	929	233
799	930	232
800	931	231
801	933	230
802	934	229
803	935	227
804	936	226
805	937	225
806	938	224
807	939	223
808	940	222
809	941	220
810	942	219
811	943	218
812	944	217
813	945	215
814	946	214
815	947	213
816	948	212
817	949	211
818	950	210
819	952	208
820	953	207
821	954	206
822	954	205
823	955	204
824	956	202
825	957	201
826	958	200
827	959	199
828	960	198
829	961	196
830	962	195
831	964	194
832	964	193
833	965	192
834	967	191
835	968	189
836	969	188
837	970	187
838	971	186
839	972	185
840	973	183
841	974	182
842	975	181
843	976	180
844	978	179
845	979	178
846	980	177
847	981	175
848	982	174
849	983	173
850	984	172
851	985	171
852	987	170
853	988	168
854	989	167
855	990	166
856	991	165
857	992	164
858	994	163
859	995	162
860	996	160
861	997	159
862	999	158
863	1000	157
864	1001	156
865	1002	155
866	1004	154
867	1005	152
868	1006	151
869	1008	150
870	1009	149
871	1010	148
872	1011	147
873	1012	145
874	1013	144
875	1014	143
876	1015	142
877	1016	141
878	1017	140
879	1018	138
880	1018	137
881	1019	136
882	1021	135
883	1022	134
884	1023	132
885	1024	131
886	1026	130
887	1028	129
888	1029	128
889	1030	127
890	1031	126
891	1032	125
892	1033	123
893	1035	122
894	1036	121
895	1037	120
896	1039	119
897	1040	118
898	1041	116
899	1042	115
900	1043	114
901	1044	113
902	1045	112
903	1046	111
904	1047	109
905	1048	108
906	1050	107
907	1051	106
908	1052	105
909	1053	104
910	1054	103
911	1055	101
912	1056	100
913	1057	99
914	1058	98
915	1060	97
916	1061	96
917	1062	94
918	1063	93
919	1064	92
920	1066	91
921	1067	90
922	1068	89
923	1070	88
924	1071	86
925	1072	85
926	1073	84
927	1074	83
928	1074	82
929	1075	80
930	1076	79
931	1078	78
932	1079	77
933	1080	76
934	1081	75
935	1082	74
936	1083	72
937	1085	71
938	1086	70
939	1087	69
940	1088	68
941	1089	67
942	1090	65
943	1091	64
944	1092	63
945	1094	62
946	1095	61
947	1096	60
948	1097	59
949	1099	57
950	1100	56
951	1101	55
952	1102	54
953	1103	53
954	1104	52
955	1105	50
956	1106	49
957	1107	48
958	1108	47
959	1110	46
960	1111	45
961	1112	43
962	1113	42
963	1114	41
964	1115	40
965	1117	39
966	1118	38
967	1119	37
968	1120	35
969	1121	34
970	1123	33
971	1124	32
972	1125	31
973	1126	30
974	1128	28
975	1129	27
976	1130	26
977	1131	25
978	1132	24
979	1133	23
980	1135	21
981	1136	20
982	1137	19
983	1138	18
984	1139	17
985	1141	16
986	1142	15
987	1143	13
988	1144	12
989	1145	11
990	1146	10
991	1148	9
992	1149	8
993	1150	6
994	1151	5
995	1152	4
996	1153	3
997	1154	2
998	1155	1
999	1156	0
